Timestamp_MS,Target_X,Target_Y,Gaze_X,Gaze_Y,Euclidean_Distance,Concentration_Score
1485,768,432,918,627,246.02,0.0
1518,771,434,916,625,239.8,0.98
1551,774,436,915,622,233.4,9.67
1584,777,438,915,622,230.0,12.67
1617,780,440,914,620,224.4,16.92
1650,783,442,913,617,218.0,21.15
1683,786,444,912,616,213.21,24.04
1716,789,446,912,616,209.83,25.98
1749,792,448,912,616,206.46,27.83
1782,795,450,912,616,203.09,29.62
1815,798,452,912,616,199.73,31.34
1848,801,454,912,616,196.38,33.01
1881,804,456,912,616,193.04,34.63
1914,807,458,912,616,189.71,36.21
1947,810,460,912,616,186.39,37.75
1980,813,462,914,617,185.0,38.38
2013,816,464,914,617,181.69,39.86
2046,819,466,916,617,179.47,40.84
2079,822,468,918,618,178.09,41.45
2112,825,470,921,619,177.25,41.81
2145,828,472,926,620,177.5,41.7
2178,831,474,930,621,177.23,41.82
2211,834,476,934,625,179.45,40.86
2244,837,478,937,629,181.11,40.12
2277,840,480,940,633,182.78,39.38
2310,843,482,943,637,184.46,38.62
2343,846,484,945,642,186.45,37.72
2376,849,486,947,646,187.63,37.18
2409,852,488,949,652,190.54,35.82
2442,855,490,952,657,193.13,34.59
2475,858,492,954,663,196.1,33.15
2508,861,494,957,668,198.73,31.85
2541,864,496,960,673,201.36,30.51
2574,867,498,963,677,203.12,29.6
2607,870,500,966,681,204.88,28.67
2640,873,502,969,684,205.77,28.2
2673,876,504,972,688,207.54,27.24
2706,879,506,975,692,209.31,26.27
2739,882,508,978,695,210.2,25.77
2772,885,510,983,698,212.01,24.74
2805,888,512,989,703,216.06,22.35
2838,891,514,997,719,230.78,12.02
2871,894,516,1003,735,244.63,0.0
2904,897,518,1008,748,255.38,0.0
2937,900,520,1013,760,265.27,0.0
2970,903,522,1014,770,271.71,0.0
3003,906,524,1016,777,275.88,0.0
3036,909,526,1017,783,278.77,0.0
3069,912,528,1018,789,281.7,0.0
3102,915,530,1020,794,284.11,0.0
3135,918,532,1022,802,289.34,0.0
3168,921,534,1024,809,293.66,0.0
3201,924,536,1027,819,301.16,0.0
3234,927,538,1029,828,307.42,0.0
3267,930,540,1032,837,314.03,0.0
3300,933,542,1034,844,318.44,0.0
3333,936,544,1036,850,321.93,0.0
3366,939,546,1038,855,324.47,0.0
3399,942,548,1040,860,327.03,0.0
3432,945,550,1041,863,327.39,0.0
3465,948,552,1044,863,325.48,0.0
3498,951,554,1047,863,323.57,0.0
3531,954,556,1050,863,321.66,0.0
3564,957,558,1052,863,319.45,0.0
