trial_id,target_position_x,target_position_y,target_width,target_height,target_appearance_timestamp,first_gaze_entry_timestamp,target_acquisition_latency_ms,fixation_start_timestamp,fixation_duration_ms,successful_acquisition,trial_timeout,number_of_target_entries,number_of_distractor_entries,total_gaze_samples,valid_gaze_samples,invalid_gaze_samples,mean_gaze_x,mean_gaze_y,gaze_variability_x,gaze_variability_y,mean_confidence,mean_target_concentration,max_target_concentration,concentration_radius_px
1,1355,170,120,120,61412941,61414458,1517,,0,0,8000,1,9,222,222,0,1326.29,456.99,163.2,104.98,,0.477,0.633,180.0
2,594,535,120,120,61422158,61422181,22,,0,0,8000,1,209,237,237,0,773.78,384.3,107.33,82.54,,0.537,0.649,180.0
3,544,207,120,120,61431380,61431405,25,,0,0,8000,2,0,236,236,0,595.53,-37.58,140.86,68.98,,0.408,0.644,180.0
4,351,191,120,120,61440613,,,,0,0,8000,0,0,237,237,0,541.3,-152.65,63.34,52.7,,0.0,0.0,180.0
5,878,380,120,120,61449856,61453613,3757,61453613,410,1,8000,2,0,182,182,0,782.58,72.01,233.46,215.27,,0.366,0.548,180.0
6,1336,347,120,120,61456018,61457139,1121,,8,0,8000,3,23,231,231,0,1342.69,522.51,160.33,129.35,,0.386,0.609,180.0
7,433,466,120,120,61465229,,,,0,0,8000,0,162,235,235,0,625.87,160.4,79.37,125.99,,0.0,0.0,180.0
8,226,598,120,120,61474469,,,,0,0,8000,0,184,236,236,0,614.95,256.04,57.86,155.05,,0.0,0.0,180.0
9,1051,271,120,120,61483700,61484774,1074,61484774,402,1,8000,2,64,101,101,0,769.29,166.05,205.34,90.11,,0.647,0.918,180.0
10,983,487,120,120,61487149,61487771,622,61487771,425,1,8000,1,12,40,40,0,999.39,360.22,37.79,65.76,,0.586,0.98,180.0
11,1323,689,120,120,61488488,61489424,935,61489424,403,1,8000,1,24,50,50,0,1147.42,635.92,124.09,128.17,,0.532,0.699,180.0
12,776,288,120,120,61490174,61491513,1338,61491513,408,1,8000,2,10,88,88,0,1003.07,352.18,255.24,250.95,,0.417,0.664,180.0
13,387,695,120,120,61493117,,,,0,0,8000,0,17,238,238,0,668.87,504.38,79.91,104.08,,0.0,0.0,180.0
