Direction,Left_Horizontal,Left_Vertical,Right_Horizontal,Right_Vertical
CENTER,-0.04179873580519313,-0.11025404653857451,0.05501345662028787,-0.10452447119867703
CENTER,-0.03175738461971647,-0.1015253971382718,0.050296780121209486,-0.10243832050368398
CENTER,-0.02411462617549607,-0.09752198402962059,0.04895697311636986,-0.09761720910425704
CENTER,-0.03287351632348159,-0.10644158103920226,0.040448845001821825,-0.10602293701652832
CENTER,-0.03186713730970072,-0.10583587470680401,0.04136082386595104,-0.10711874771997763
CENTER,-0.025452831564720575,-0.08260751916802309,0.04143667267610227,-0.0756955026585381
CENTER,-0.022468657623635774,-0.07619642085666561,0.04417478676914655,-0.06585066634269587
CENTER,-0.01998480113800849,-0.07216899064439124,0.04644832919700654,-0.0629689838267738
CENTER,-0.014939196372393743,-0.06466745134625032,0.058629490834198994,-0.0563110735743176
CENTER,-0.014648078893926967,-0.06369516485358766,0.05945961989908303,-0.05560386516880793
CENTER,-0.013341751891647607,-0.06559760414931896,0.06605286392953678,-0.05589783246688319
CENTER,-0.002276644719233695,-0.056879717359885375,0.06297001348808533,-0.052153969490697796
CENTER,-0.0004475229843417933,-0.044922057750247955,0.06834773096920707,-0.04713137952199964
CENTER,0.0009232350736731876,-0.05048718280779094,0.06798184534548415,-0.050809653457227565
CENTER,-0.003474691244090125,-0.05832620413794319,0.06596544822249163,-0.05228637418910999
CENTER,-0.00510240672172158,-0.05572716572202564,0.06187345352982285,-0.05274740384310774
CENTER,-0.005006219955454546,-0.05166966296080635,0.059610958794452336,-0.04963501613424565
CENTER,-0.0019590872850046162,-0.045574720287109675,0.0646664796559166,-0.04514613193709411
CENTER,-0.0030795907100400746,-0.03583069353101131,0.06906985942827583,-0.03906921129734521
CENTER,0.006392250973380285,-0.038059316941023866,0.0523171751263266,-0.039890328265979824
CENTER,0.005378787777511895,-0.03823651693579495,0.054320285469777775,-0.04257242477221555
CENTER,0.0004255603210894344,-0.0507217169272866,0.056267080756210765,-0.04802369270417968
CENTER,-0.0006658675812002388,-0.05181507982091839,0.05574766431674933,-0.046370302603470824
CENTER,0.009650901627404881,-0.04340847283013121,0.05556915198703492,-0.04647447410664968
CENTER,0.007173303811143557,-0.052327145439569935,0.059604634436397116,-0.04712116141008021
CENTER,-0.01115313747773459,-0.08660541682709716,0.057360495055677294,-0.08013543221508244
CENTER,-0.012291990266990852,-0.09598053398220159,0.05874592893260134,-0.08620959366366074
CENTER,-0.014155483541753153,-0.09740816583497353,0.06622649829249028,-0.09726130052163427
CENTER,-0.019365692566514554,-0.10783465000139202,0.06897563703516994,-0.10598185105652358
